Surt,capture_time,url,mime,status,digest,length,offset,filename,month,year
"com,fourstateshomepage)/business/ap-business/asian-shares-advance-on-back-of-rally-on-wall-street",20220427014009,https://www.fourstateshomepage.com/business/ap-business/asian-shares-advance-on-back-of-rally-on-wall-street/,text/html,200,sha1:JF5T3X7CKVRST3QQ2ACPIBLABWWEKRF3,71158,942562991,CC-NEWS-20220427002359-00727.warc.gz,04,2022
"de,waz-online)/wolfsburg/vorsfelde/wunschbaum-fuer-die-tierhilfe-steht-in-vorsfelde",20191221153116,https://www.waz-online.de/Wolfsburg/Vorsfelde/Wunschbaum-fuer-die-Tierhilfe-steht-in-Vorsfelde,text/html,200,sha1:TR7STWRACQQVC6WO2BIP2I2HEEYUT6N5,22332,347980013,CC-NEWS-20191221145655-00069.warc.gz,12,2019
"com,buffalonews)/opinion/my-view-mom-s-omniscience-was-a-formidable-force/article_07cae684-4bac-11ec-9abb-8fcaa826e960.html",20211122214042,https://buffalonews.com/opinion/my-view-mom-s-omniscience-was-a-formidable-force/article_07cae684-4bac-11ec-9abb-8fcaa826e960.html,text/html,200,sha1:7IMIVNAYVUXJ5ATCG5F4YE4KFL22P46V,41705,1037777303,CC-NEWS-20211122204745-00547.warc.gz,11,2021
"com,dailythanthi)/news/districts/2021/11/30212038/in-the-case-of-rape-of-a-young-womanthe-dealer-was.vpf",20211130203437,https://www.dailythanthi.com/News/Districts/2021/11/30212038/In-the-case-of-rape-of-a-young-womanThe-dealer-was.vpf,text/html,200,sha1:LQLFVOQCFCUHW763WDWAWCMKEJEQG6K3,17707,105840146,CC-NEWS-20211130202909-00706.warc.gz,11,2021
"de,zvw)/staumelder/mannheim-staugefahr-auf-a-6-zwischen-linsenb%c3%bchl-und-mannheim-in-richtung-heilbronn_staumelderid-203858",20210222144126,https://www.zvw.de/staumelder/mannheim-staugefahr-auf-a-6-zwischen-linsenb%C3%BChl-und-mannheim-in-richtung-heilbronn_staumelderid-203858,text/html,200,sha1:V5OTRR72PPPIKKWIC5B22SD2IWRDIMWU,10228,569946879,CC-NEWS-20210222140935-00366.warc.gz,02,2021
"com,alkhaleej365)/saudi-arabia-news/11521364/%d8%a7%d8%ae%d8%a8%d8%a7%d8%b1-%d8%a7%d9%84%d8%ae%d9%84%d9%8a%d8%ac-%e2%80%93-%d8%a8%d8%a7%d9%83%d8%b3%d8%aa%d8%a7%d9%86-%d8%a7%d8%b9%d8%aa%d9%85%d8%a7%d8%af-%d9%85%d8%b1%d8%b4%d8%ad%d9%8a%d9%86-%d8%a7%d8%ab%d9%86%d9%8a%d9%86-%d9%84%d8%ae%d9%84%d8%a7%d9%81%d8%a9-%d8%b9%d9%85%d8%b1%d8%a7%d9%86-%d8%ae%d8%a7%d9%86.html",20220420195212,https://alkhaleej365.com/saudi-arabia-news/11521364/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC-%E2%80%93-%D8%A8%D8%A7%D9%83%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B9%D8%AA%D9%85%D8%A7%D8%AF-%D9%85%D8%B1%D8%B4%D8%AD%D9%8A%D9%86-%D8%A7%D8%AB%D9%86%D9%8A%D9%86-%D9%84%D8%AE%D9%84%D8%A7%D9%81%D8%A9-%D8%B9%D9%85%D8%B1%D8%A7%D9%86-%D8%AE%D8%A7%D9%86.html,text/html,200,sha1:ADQKZ5YRWDVBJTUEAVZDIW7UIXCQK227,15759,333925103,CC-NEWS-20220420193554-00599.warc.gz,04,2022
"ci,afrique-sur7)/483097-mmah-sylla-piegee-par-des-medecins",20211126072319,https://www.afrique-sur7.ci/483097-mmah-sylla-piegee-par-des-medecins,text/html,200,sha1:DEALCIUGSULCKANEIR7XLSWUOTEGSJ5J,12550,993913878,CC-NEWS-20211126060048-00620.warc.gz,11,2021
"org,thedailyripple)/index.php/rss-world/750547-how-economists-and-non-economists-can-get-along",20210312022124,https://thedailyripple.org/index.php/rss-world/750547-how-economists-and-non-economists-can-get-along,text/html,200,sha1:XP7VXLIYATAHRNEPCBJI6P75MS4S5FAU,5067,276608721,CC-NEWS-20210312015235-00676.warc.gz,03,2021
"com,chinatimes)/realtimenews/20190827004285-260408",20190827142158,https://www.chinatimes.com/realtimenews/20190827004285-260408,text/html,200,sha1:YLNNYFMLIMQSAEREDZJIPNCQFSRVUGGW,10989,697397176,CC-NEWS-20190827132323-01014.warc.gz,08,2019
"it,altochiasciooggi)/politica/simona-vitali-una-candidata-forte-per-primarie-del-centrodestra-17979",20240403235159,https://www.altochiasciooggi.it/politica/simona-vitali-una-candidata-forte-per-primarie-del-centrodestra-17979/,text/html,200,sha1:SDWPVXV2FBXDAK5OKGASTXDZHTE4BTKN,26709,943260700,CC-NEWS-20240403223842-03284.warc.gz,04,2024
